scope,teilnehmer_id,n,stabilitaet_std_d_semantisch,mittlere_delta_bewegung,delta_std,dominanzwechsel,dominanzwechsel_rate,dominanzstabilitaet,kohaerenz_index,kognition_varianz,sozial_varianz,affektiv_varianz,motivation_varianz,methodik_varianz,performanz_varianz,regulation_varianz
alle_lehrkraefte,22,171,0.7490025260409752,0.3743614705987495,0.326974449628672,112,0.6588235294117647,0.3411764705882353,0.5717544629644361,0.1338551628085597,0.12152233728892078,0.12149488378431961,0.12332113793198743,0.10363985856970187,0.16962417114428965,0.14638752653788847
alle_lehrkraefte,21,88,0.7662286399103806,0.3685276506877646,0.2725859033766666,58,0.6666666666666666,0.33333333333333337,0.5661781138656774,0.13033560018866783,0.11269924697361793,0.11041564427375967,0.11781861022608395,0.0900083607327282,0.15936926944819058,0.12549147506359898
alle_lehrkraefte,16,129,0.7721231249791702,0.3498427765735325,0.20253178417968062,78,0.609375,0.390625,0.5642948765265698,0.11995092286097803,0.12285773420602882,0.10339221346523272,0.09052513193391466,0.07881543175506989,0.11893716872976408,0.10916411029697616
alle_lehrkraefte,15,138,0.8170937672763833,0.4250814604890839,0.36503799555744176,88,0.6423357664233577,0.35766423357664234,0.5503293324806712,0.16003548839064097,0.12709296002351927,0.1255881374300437,0.14964339263811258,0.12289326982465426,0.16954107089789663,0.17178895531168742
alle_lehrkraefte,24,46,0.8182236475994512,0.47633870781501586,0.48975942434082165,27,0.6,0.4,0.5499873468922657,0.18504725587462872,0.125030990941953,0.13454855604550942,0.17767513963841736,0.14259222402172436,0.22411333347755402,0.22297863950789804
alle_lehrkraefte,20,115,0.8192262951139304,0.37687099926732737,0.27942109350225935,77,0.6754385964912281,0.32456140350877194,0.5496842271276505,0.14480946494736952,0.12120896796179317,0.10364343538784197,0.11159590524705258,0.10145606211775307,0.11500542507113867,0.14196714734973817
alle_lehrkraefte,47,58,0.8285561220483365,0.43275464270005987,0.4912178400404962,37,0.6491228070175439,0.3508771929824561,0.5468795777948595,0.16879141862453384,0.11493729585032886,0.1295509240382603,0.16243194647641518,0.15527914712881016,0.2074537102482828,0.23931767126511394
alle_lehrkraefte,10,146,0.8376767661968921,0.4928504791672789,0.497787739655035,98,0.6805555555555556,0.3194444444444444,0.5441653387551497,0.18816487457539016,0.12652155255398118,0.13931689464589578,0.18134677796291548,0.16260819969574913,0.2425922169984074,0.21736141853610258
alle_lehrkraefte,7,82,0.8441813422266702,0.3822983393986938,0.2932198179028063,54,0.6666666666666666,0.33333333333333337,0.5422460238062039,0.1347005779831004,0.12174141614832784,0.11546669265290327,0.12831902413788607,0.0953071279654735,0.1340403622673933,0.15697965322091428
alle_lehrkraefte,18,157,0.8757666076725108,0.4434403053250237,0.3896022074182698,108,0.6923076923076923,0.3076923076923077,0.5331153651577263,0.16111693732230345,0.11846450205358287,0.1281273187281456,0.1567573286889299,0.12688043988861178,0.19432162784059748,0.17660362337602797
alle_lehrkraefte,19,96,0.8838025985901303,0.3805947831141973,0.2974395737465017,64,0.6736842105263158,0.3263157894736842,0.5308411830137706,0.13138241468365894,0.11617561416601807,0.11441012194940267,0.1390253544562675,0.10374438641007866,0.12471981817186661,0.16489589164940732
alle_lehrkraefte,40,105,0.8843145175626442,0.35091820013259295,0.2597783152502023,71,0.6826923076923077,0.3173076923076923,0.5306969673478382,0.12962433006691057,0.10954242438320709,0.10647743506530874,0.1128449536188483,0.09660304540439127,0.13114526197237164,0.147395068354634
alle_lehrkraefte,43,50,0.8955657403930383,0.3246543999962138,0.18736674262972716,33,0.673469387755102,0.326530612244898,0.5275469896352177,0.09822694304642922,0.13257086170799767,0.10648598345278963,0.08961090299200987,0.06464918797311324,0.06338156622290575,0.11188440623784689
alle_lehrkraefte,42,38,0.89574456450668,0.46261055148308566,0.40408285152908546,24,0.6486486486486487,0.3513513513513513,0.5274972265370703,0.18558301952075223,0.12498459268253308,0.1076580508146337,0.16305032756632015,0.14431919587825373,0.20190420331560796,0.18788457630023556
alle_lehrkraefte,13,79,0.8995370331503403,0.4437136940575275,0.45384928290990406,45,0.5769230769230769,0.42307692307692313,0.5264440663952321,0.2292212665230426,0.1189352326802034,0.1279984630667881,0.15591858985268348,0.1691524932255511,0.19376327345609007,0.1923871411115417
alle_lehrkraefte,45,46,0.9084894163904884,0.47159098280552486,0.46714964887569593,31,0.6888888888888889,0.3111111111111111,0.5239746112353573,0.17956647635048892,0.11996828353792187,0.13479603209781876,0.1692288655136748,0.14339572749508445,0.2577187989776964,0.17482554848731813
